,rutenavn,rutenummer,merking,rutetype,informasjon,geometry
1773,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.668851458052334 59.89935376005784, 10.668922532172887 59.89933435857416, 10.668991744488867 59.89931704632656, 10.669111850558881 59.89929145539095)"
1774,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.686614902581642 59.90050311693576, 10.686603910491423 59.900494366087244, 10.686560326835274 59.90045989664127, 10.686479883143942 59.900396619721946, 10.686390953690246 59.90032464963281, 10.68629569962572 59.90024782067786, 10.68619530104861 59.9001717759841, 10.686090337365497 59.90009031100894, 10.68596122971378 59.899987509812064, 10.685886362127306 59.89992838243807, 10.685826768674023 59.89988136406677, 10.685713230081706 59.899789410519936, 10.685613397517955 59.899713897041075, 10.685588249728116 59.899693920872636, 10.685588245179444 59.89969383111751, 10.685512596036677 59.89963336633643, 10.685384710770888 59.89952992027175, 10.685277725392256 59.89945081567597, 10.68517081004783 59.89936955458211, 10.685085833648015 59.899301395074176, 10.684982541191472 59.899224578175925, 10.684942128675113 59.89919617497689, 10.684942124128273 59.89919608522173, 10.684934704823801 59.89919079128001, 10.6848570263979 59.899136100133376, 10.68474281070402 59.89905538110316, 10.684619622961566 59.89897046562675, 10.684608884673485 59.898959645668725, 10.684599177446161 59.898948004210716, 10.684589918038487 59.898927555325265)"
1775,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.689269447740307 59.904637895440864, 10.689328963239298 59.90466551365821, 10.689365186566649 59.90466756415373, 10.689404038397946 59.90467559844153, 10.689476289321796 59.904693443330196, 10.689597186693554 59.904725573604445, 10.689750059371685 59.904764119659625, 10.68993381179512 59.90481214908633, 10.690063167086569 59.90484884079034, 10.690220071695766 59.90489281322375, 10.690386263424246 59.90494007927471, 10.690529131187594 59.90497875275282, 10.690708271830648 59.905027468961876, 10.690835228206696 59.90506266386591, 10.690969914313602 59.905098657616584, 10.691018690341712 59.9051119529163, 10.691021952469764 59.90511280919784, 10.69111569730392 59.90513837082953, 10.6912723346618 59.90518054919345, 10.69140040090035 59.905216447828, 10.691510740785157 59.90524835260182, 10.691539395161136 59.90525274497527, 10.691556251152946 59.9052571989468, 10.69169800379491 59.905294987356605, 10.691807318321443 59.9053243004587, 10.691932073274213 59.90535835500681, 10.692075146142958 59.90539747327133, 10.69218282567326 59.90542626817636, 10.692201270704436 59.90543734785643, 10.692395756103462 59.90548882864698, 10.692552799793916 59.90553189843137, 10.69259521308327 59.90554311934124, 10.69270850163818 59.90557318899646, 10.692841359162708 59.905608306216145, 10.692954569995388 59.90564035255637, 10.693056518600512 59.90567245365133, 10.693077681533088 59.905680714085086, 10.69312949159533 59.905700885276296, 10.69312967486202 59.905700972735524, 10.693145729211874 59.90570723307276, 10.693225006567564 59.90574007433244, 10.693297823122103 59.905775962388724, 10.69337682066523 59.905813836704915, 10.693446723107336 59.90585218708205, 10.693497890739977 59.905884311569324, 10.693535487008464 59.905913287314554, 10.693572042325536 59.905949910564345, 10.693613086801152 59.90599743335874, 10.693651349938138 59.90604651870763, 10.69367818185469 59.90608883530056, 10.69369888819226 59.906126739930144, 10.693708978988068 59.906156338504324, 10.693710435610491 59.906160361390455, 10.69372132311766 59.90619506909051, 10.693728278864421 59.90623333003562, 10.693734792552602 59.906290996357114, 10.69373721942135 59.90634566153771, 10.693742521596345 59.90637954287305, 10.693744920837341 59.90639504976232, 10.69374829271335 59.906440182577626, 10.693751476359955 59.90648864090746, 10.693752467911501 59.906553742885656, 10.693753277379436 59.90660824922124, 10.693753922654675 59.906656021660936, 10.693750214850203 59.90666397288589, 10.693741796396006 59.906674229977455, 10.693720250013238 59.90668654184141, 10.693687660672424 59.90669971410601, 10.69365206161287 59.90670645847004, 10.693641715187942 59.90670695066699, 10.693625943701718 59.90670625518247, 10.693558731407798 59.90668565337668, 10.693471157191736 59.906658487328116, 10.693360792904224 59.906622722483505, 10.693223143748806 59.906577877646775, 10.693151272478458 59.906553563323904)"
1776,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.686614902581642 59.90050311693576, 10.686615553536365 59.90050185121877, 10.686643054317578 59.90039192702725, 10.686647104589674 59.90037660692876, 10.68667232663337 59.900327515508906, 10.686702102894946 59.900290670223036, 10.686884906113633 59.90012316384567, 10.687121387827496 59.89991778732451, 10.687257814314325 59.89980179823222, 10.687493074822605 59.89959005988253, 10.687537179082026 59.89955374943639, 10.6875573040509 59.89953813365825, 10.687631065653575 59.89951904683589, 10.687664556725055 59.89952373732664, 10.687712433430706 59.899540637830285, 10.687948033793138 59.89965626396941, 10.688120271764202 59.8997316566195, 10.688190294939856 59.8997621943479, 10.688519022464327 59.89988444030388, 10.68858808559537 59.899910140204184, 10.688834787230297 59.90000837839626)"
1777,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.698539317985077 59.90328544209196, 10.698325224503144 59.90332960503759, 10.698267234916111 59.90333196889902, 10.698209226917992 59.90333047098945, 10.698153395081796 59.903322568254204, 10.698096559861307 59.90331252289788, 10.69804113570675 59.903295094627154, 10.697997106083381 59.90327671121512, 10.697960072599477 59.90325527381179, 10.697931464675367 59.903227261280115, 10.697910837947513 59.90319797834911, 10.697892960196643 59.90316650447675, 10.697882939886785 59.90313133683876, 10.697880593867254 59.9031063988955, 10.697879530501263 59.903061056754005, 10.697879795913481 59.90302773250958, 10.697874833900444 59.90301109111214, 10.697863544750216 59.902996596933505, 10.697844778479732 59.90298273795596, 10.69781518597197 59.90297045545462, 10.69772856195403 59.9029407652555, 10.69760994498262 59.902900799271144, 10.69750494468948 59.902864879043385, 10.69734341748738 59.902810915685706, 10.697190467426351 59.902760344413245, 10.697029752140944 59.90270825630796, 10.697023938195011 59.9027064450836, 10.696977357951035 59.90269060896109)"
1778,['Kyststien Hengsåsen Bygdøy'],['F_20171004'],JA,,,"LINESTRING (10.678910829177727 59.91703358726984, 10.678906106967986 59.91703571310314, 10.678825926464182 59.917070234373874, 10.678739342196579 59.91710546582646, 10.678695830435277 59.917122276010936, 10.678631436108864 59.91714707598227, 10.678596404969179 59.9171618022684, 10.678513313822975 59.91719537245999, 10.6784450499582 59.91722147898405, 10.678419698338319 59.91722952564713, 10.678395167986395 59.91723612484317, 10.678340970536082 59.91724678403917, 10.678277529388232 59.91725504612201, 10.678211248188205 59.917260200873955, 10.678133555532597 59.91726253702022, 10.678004603566395 59.91725932845595, 10.677927435626161 59.91725788566, 10.677839422229454 59.91725774841196, 10.677800723963426 59.91725653445488, 10.677765614493964 59.91725554425439, 10.677678535677503 59.917256203321706, 10.67755528389186 59.917256065233424, 10.677409487779308 59.91725226210138, 10.677278130499635 59.91724746679868, 10.677232983312384 59.91724606528117, 10.677083829196674 59.91723952031021, 10.677047638145327 59.91723836405161, 10.676939943072702 59.91723811731128, 10.676903082271293 59.91723786766093, 10.676840882610122 59.917231743197, 10.676801661301642 59.917216614602786, 10.676776034637312 59.91719439750305, 10.676751389618845 59.91715618122051, 10.676722734601281 59.917102298678614, 10.676691343777959 59.91704027795208, 10.676667304993506 59.91698570800006, 10.676641324933266 59.91693520431183, 10.676620807306328 59.91688660703461, 10.676613389524865 59.91686721197325, 10.676600420719392 59.91682642222593, 10.6765797246197 59.916784922430175, 10.676557983342898 59.91675107001793, 10.676536660817666 59.916721972359994, 10.676514562253665 59.91669521970235, 10.676508703872127 59.91668900729904)"
1779,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.684368999279679 59.89879790442494, 10.684281293288311 59.89873579679566, 10.6841907699735 59.89867453343376, 10.68412856803503 59.89863239757806)"
1780,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.6904670610236 59.90068350558179, 10.690429401922888 59.90064608735912, 10.690383028399106 59.90061309194107, 10.690310833817719 59.90058563685409, 10.69021275746046 59.90054845455678, 10.690118707821242 59.900513106630875, 10.689916432092565 59.900434329528274, 10.689701546502757 59.90035014536256, 10.689525808768101 59.90028342167886)"
1781,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.684368999279679 59.89879790442494, 10.684498622072113 59.89888282768897, 10.684589918038487 59.898927555325265)"
1782,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.673486686112268 59.89862973808264, 10.673427179891352 59.898697763659555, 10.67333613078157 59.898725145154636, 10.673206692649568 59.89877124602662, 10.673048597355692 59.89882696131178, 10.67294061015098 59.89886237128615, 10.672759790855128 59.898931936439645, 10.672543157066263 59.89900033922921, 10.672417191258047 59.899019541147844, 10.672299042776991 59.899005772188616, 10.672212584337805 59.898982260477275, 10.672103054969103 59.89893012163988, 10.671944096157779 59.89887268214937, 10.67175407512711 59.89881967808505, 10.671659696847797 59.89880219413869, 10.671452818861425 59.898783712028205, 10.671294431175287 59.89877673942516, 10.671089315444796 59.89877197578554)"
1783,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.697971125391796 59.90377290648651, 10.697922981409114 59.903807027155835, 10.697887051998798 59.90382823693533, 10.697857459143172 59.903861489904976, 10.697805040271044 59.903906443221224, 10.697711587579144 59.903977701551995, 10.697691418932921 59.903992421316296, 10.697671740509419 59.90400623662772, 10.697651640547193 59.90401879997623, 10.697624448057141 59.90402902970888, 10.697567685110469 59.904048442022, 10.69754881756732 59.904057127499485)"
1784,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.673480519134456 59.89697923212786, 10.673499552994443 59.89698446901984, 10.673512381754097 59.89698718012808, 10.673533360753702 59.89698844053943, 10.673568946563773 59.896985114612285, 10.67361812596252 59.89697838277203, 10.673678829891278 59.89696620558003, 10.673714866337376 59.896954072209375, 10.673735113699259 59.89694079216353, 10.67374425956906 59.89693070675505, 10.673761585258651 59.89691620642895)"
1785,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.67014223018562 59.898851610573566, 10.670164932151268 59.898847999794945, 10.670179526724684 59.898843144563656, 10.670210921279065 59.89883107100926, 10.670242432995556 59.89882133109944, 10.670271443430268 59.89881162288258, 10.67029575168048 59.89880439920469, 10.670319876751188 59.89879708803086, 10.670389941592882 59.89878254842907, 10.670462385924699 59.89876555367867, 10.670503562042427 59.8987631456829, 10.670561653573348 59.89875226046218, 10.670629338675708 59.89874017584717, 10.670687311741947 59.898734052159796, 10.670747673331283 59.898725652842025, 10.67084200473012 59.89872086441122, 10.67088312384024 59.898720881969396, 10.670933838240092 59.89872329262157, 10.670979787414446 59.898726931242294, 10.67102091445409 59.898734223508704, 10.671047445403328 59.898742778592805, 10.671066820896934 59.898751244775845, 10.671089315444796 59.89877197578554)"
1786,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.666162587013035 59.90989471136809, 10.666165161084889 59.90989611583614, 10.666187420638602 59.90990849807389, 10.666266279653646 59.909954742775454, 10.666329132429302 59.909995621377504, 10.666397558471349 59.91004065069493, 10.666446853183533 59.910075054494015, 10.666480548396793 59.9101050750374, 10.666532421126906 59.91015166074654, 10.666540176188121 59.91016009491313, 10.666603934566096 59.910233294526165, 10.666636124842679 59.91029036769313, 10.666665323709616 59.91036624953702, 10.66667780306733 59.91042967917335, 10.666683668755839 59.910439664036886, 10.666694816450793 59.91045155799666, 10.666698384465198 59.910458518277444, 10.66670095212821 59.91046692821013, 10.66670254698658 59.9104916065483, 10.666704001645066 59.91052419017993, 10.666699153242886 59.91057373829999, 10.66669045351993 59.91067488762444, 10.666688967024317 59.910691611587865, 10.666673948828127 59.910791583418394, 10.666645018833245 59.91088517480559, 10.666610221147689 59.910950908609394, 10.666545378337299 59.91102735071134, 10.666507907449345 59.9110647374579)"
1787,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.666507907449345 59.9110647374579, 10.66645187249384 59.9111064004473, 10.666412371986477 59.91112827522119, 10.666347113282521 59.911153619035844, 10.66631127230901 59.91116287373769, 10.666268017976032 59.91117051569478, 10.666211407260844 59.911175721891404, 10.666134670978607 59.91117902693139, 10.666049710783362 59.911175250848224, 10.666021261471444 59.91117498171502, 10.665975901607927 59.91117986599187, 10.665927847309812 59.91118451486621)"
1788,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.693066452622958 59.90172691205625, 10.693018016243169 59.901706158664126, 10.692556684857292 59.90150847692136, 10.692357673927201 59.90142382367526, 10.691737013099724 59.90119028368204, 10.691463789384288 59.901077122899544, 10.691322425498052 59.90101849266877, 10.690850785176167 59.90083216407332, 10.690661639226215 59.90075851862857, 10.690604923052248 59.90073661319742, 10.6904670610236 59.90068350558179)"
1789,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.677050111088862 59.89727703091741, 10.676989168716933 59.89731283355717, 10.67695013469957 59.897336412241565, 10.676907410226079 59.89737189320703)"
1790,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.692119954456988 59.902521611812666, 10.69227431868474 59.90249825429247, 10.692602341178537 59.902591759128626, 10.6928695050153 59.902680386619906, 10.693288821423206 59.90282157564725, 10.69333630266378 59.90283758111089, 10.69340524767563 59.90286076530101, 10.693849546742438 59.90300791853327, 10.693959578696855 59.90304440566773, 10.694356061321574 59.9031759155453, 10.694593193131764 59.90326097389488, 10.694813777752195 59.90334058635863, 10.6952402149309 59.90350889122378, 10.695524170137494 59.903614451846614, 10.6956568478198 59.903663669226965, 10.695745033737278 59.903702950733134, 10.695844737962025 59.90374720334914, 10.696288719339885 59.90392623641203, 10.696376453420417 59.90395663178525, 10.696429238726537 59.903974903042666, 10.696496428950686 59.903995144390755, 10.696691650332966 59.9040365502508, 10.696866401206156 59.90406923802027, 10.696950727694123 59.904081893813576, 10.697232742145212 59.904103679810824, 10.69729270325027 59.90410838629665, 10.69754881756732 59.904057127499485)"
1791,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.666891807660667 59.90158562166871, 10.6668854363056 59.90159405484512, 10.666871471101961 59.90161506804943, 10.666857203770942 59.90164075534142, 10.66684502404189 59.9016581534472, 10.666832038362417 59.9016701729734, 10.66681071007423 59.90168696827379, 10.66680253966654 59.90169874727344, 10.666801659045614 59.90170971557819, 10.666803338389236 59.90172181907493, 10.66681206137804 59.9017317677969, 10.666820576722946 59.901748275482504, 10.666823797958674 59.901762604800176, 10.6668186835911 59.90178898464591, 10.666808564971229 59.90181183526474, 10.666807461945321 59.90182550076755, 10.666800890610553 59.90183707991785, 10.666793082018327 59.90184894415343, 10.666792408315509 59.901864041232066, 10.6667994910163 59.90188406973806, 10.666813256808116 59.90190545073017, 10.666826657523215 59.901930249226254, 10.666833721548521 59.90196060644426, 10.66685113240009 59.90196909809663, 10.666859805985089 59.90197805949924, 10.666861191694805 59.90198073635955, 10.666862725857483 59.90198637516635, 10.66685985602429 59.9019933270507, 10.666847151104621 59.902003816207554, 10.666830919556222 59.90200815287734, 10.666815888016112 59.90200789391373, 10.666795624042324 59.90200312066563, 10.666777654657926 59.901994187005165, 10.666771072512924 59.90198771390786, 10.666726073633134 59.90199241436445, 10.666689454665377 59.90199664958403, 10.666623659492357 59.90200736101083, 10.666581284747261 59.90201804569509, 10.666536537669508 59.90202777242142, 10.66650225168883 59.90203575022801, 10.666488904710699 59.902036996745096, 10.666501825219969 59.90205578388374, 10.666507011825043 59.90207008835687, 10.6665144901932 59.90209801540345, 10.666521419858263 59.902114992221236, 10.666537373476478 59.902133651191676, 10.666569935783222 59.90216620076335, 10.666593924768014 59.90219535603645, 10.66660916824293 59.90221411379127, 10.666620830369986 59.90223632971919, 10.66663790240606 59.90225946517755, 10.666657051162677 59.90228122718014, 10.66667345877028 59.90229467124935, 10.666692983685248 59.90230610001355, 10.666747664259361 59.90233046631012, 10.666787324199639 59.902347657889614, 10.666841815258561 59.90237894213376)"
1792,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.66479180689162 59.90828731859819, 10.664568469197063 59.90813404460639, 10.664471608101808 59.90802812117054, 10.664410605209596 59.907934767735924, 10.664278581291988 59.90765864399614, 10.664237150384164 59.90752399895551, 10.664236460817238 59.907388749704616, 10.66428762594115 59.90671396936768, 10.664305649273816 59.906523877680904, 10.664331517865675 59.906447659287, 10.664381225648656 59.90634042391141, 10.664437608547013 59.90625223433598, 10.664465790961753 59.9060972209154)"
1793,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.666891807660667 59.90158562166871, 10.66689530218909 59.90157686562502, 10.666922375702375 59.90154984879358, 10.666945876913328 59.901526469652296, 10.666955329455297 59.901515303116405, 10.666973758250185 59.90149773614791, 10.66698249862091 59.90149376364608, 10.667040266378594 59.90147273527366, 10.667136937881347 59.901443131618144, 10.667163408254842 59.901429055415676, 10.667205094256627 59.901393950148986, 10.667215949083841 59.90138222697724, 10.667223242586646 59.90136722577927, 10.667224925149059 59.90135085855346, 10.667226259952 59.90132398762148, 10.667232467887393 59.90130873071656, 10.667243016713682 59.901290904138186, 10.667271041437912 59.901240074786884, 10.667280557361645 59.90121947707268, 10.667286538966852 59.90119613986965, 10.667299732423592 59.90116687359557, 10.667316627213166 59.90113298003896, 10.667333937813112 59.90110024878664, 10.667348710186989 59.90105255089324, 10.66736358282995 59.90101042012708, 10.667382224486996 59.9009899763912, 10.667414105960455 59.90096972440063, 10.667449474038662 59.90094412933052, 10.667455681803531 59.900928872415, 10.667454655809516 59.900908408060054, 10.667440670857555 59.90088622158884, 10.667420447727272 59.9008572882608, 10.667387759901063 59.900822225724596)"
1794,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.68412856803503 59.89863239757806, 10.68363661237037 59.898357567822345, 10.683549531292746 59.89830775615881, 10.683514921501045 59.898287990297604, 10.683423710503627 59.898244877493184, 10.683305534635894 59.898216479172696, 10.682992586345444 59.89818984972955, 10.682834420393041 59.89818019377111, 10.682538098343382 59.89816062582125, 10.682429803593886 59.89815437425698, 10.68223711144247 59.898154858180625, 10.682102382966555 59.89815262610918, 10.681890362859946 59.898145632283274, 10.68176002706248 59.898134811544686, 10.681518953523899 59.89811184186724, 10.681156577171551 59.89806221786662, 10.681107353073093 59.89805745699651, 10.680889793387047 59.898036341743115, 10.680536538499286 59.898015070498374, 10.680365827284492 59.89800476324624, 10.679868160878947 59.897973565944085, 10.679790512610916 59.8979688076474, 10.679617900816758 59.8979668762821, 10.679488796478973 59.897976874273326, 10.679344419595095 59.89800305350083)"
1795,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.668093082776144 59.918501747994405, 10.668155822446684 59.91851505477239, 10.668353927921896 59.91856661528507, 10.668481716664216 59.91860002510451, 10.669019876150855 59.91878334697733, 10.669548457191137 59.918971727690305, 10.670356055023376 59.91925877856258, 10.671034903168795 59.91949671227738, 10.671566459380804 59.919690436127375, 10.671909076871696 59.9198122787812, 10.672317556839975 59.91994891260381)"
1796,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.665927847309812 59.91118451486621, 10.665585802102557 59.911121836792496, 10.665321015816527 59.9110662649891, 10.665128432736221 59.91104184376893, 10.665109893400711 59.911039473381294)"
1797,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.672317556839975 59.91994891260381, 10.672414299531328 59.919987292914556, 10.67261240924443 59.92005995308953, 10.672777266191277 59.92012234714935, 10.672891063371422 59.920165450442305, 10.67303013943397 59.92022386029173, 10.673156451657022 59.920266804553684, 10.673241572310145 59.92029105152752, 10.67331582437646 59.92030905967905, 10.673363152024532 59.920318158795276, 10.673421568391726 59.92032720696777, 10.673579949823461 59.92034621285274, 10.673788713943999 59.92026803021758, 10.674153967887019 59.91999377482794, 10.673604689985032 59.919746937416626, 10.67427469313729 59.919254699144595, 10.674624817531832 59.91899644146806, 10.674873246316622 59.91891398105587)"
1798,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.698539317985077 59.90328544209196, 10.698604783437954 59.90324391286496, 10.698656650624653 59.90320570233552, 10.698657809711696 59.903203891125806, 10.698678481410736 59.903188536025816, 10.698766485815888 59.90321371714233, 10.698615131828914 59.90334149664951, 10.698484457608558 59.90344709496974, 10.698295912469407 59.90358891520095, 10.698185880932865 59.90367511693124, 10.698080870135724 59.90374760222028, 10.697971125391796 59.90377290648651)"
1799,['Blåmerket sti Nordmarka'],['F_20170630_01'],JA,,,"LINESTRING (10.565737653078813 59.992694527004424, 10.565691813584943 59.99272605481592, 10.565647361828413 59.99275280625424, 10.565561960005818 59.992808333184584, 10.565517643733338 59.99283795687386, 10.565479883790138 59.9928697480544, 10.565425918192464 59.992911430769446, 10.565368414567287 59.99294273750618, 10.565327137817844 59.99294942368218, 10.565298866931789 59.99294679510508, 10.565237582850008 59.99293602596095, 10.565173430847864 59.99292906278055, 10.565138878049925 59.99293387300667)"
1800,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.862504561556793 59.889438626870145, 10.862860149375258 59.889328423247484, 10.863223473303204 59.8891968224411, 10.863718477267575 59.88891129658064)"
1801,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.865797523215734 59.889345510600954, 10.865804192836148 59.88929233384147)"
1802,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.86895741068543 59.8886177501637, 10.869039244092328 59.88859503301773, 10.869069431824474 59.888585173896615, 10.869102869405005 59.888575897389906, 10.869128630612208 59.888569963220036, 10.869157911013074 59.88856622456582, 10.869197058306161 59.88855677721406, 10.869225684839455 59.88855412563565, 10.869277197885639 59.88854845480869, 10.869385126457658 59.888538480620944)"
1803,['Blåmerket sti Nordmarka'],['F_20170630_01'],JA,,,"LINESTRING (10.66239165624576 59.994083073863315, 10.662117430518371 59.99416699718586, 10.661857812209533 59.994220469582096, 10.66162744800385 59.99421735128981, 10.661346058198664 59.99421209044001, 10.661109426595369 59.994205547448786, 10.660949661248997 59.994215909672654, 10.660696313359244 59.99427648581517, 10.660432732570152 59.99437616834989, 10.660244305295992 59.99446933711748, 10.6601248297309 59.99451808013972, 10.660121492800346 59.99451946926606)"
1804,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.867206577212922 59.88919432549155, 10.867690383553247 59.88926075953366, 10.867959286648393 59.88931326321252, 10.868122120000116 59.8893993352969, 10.868590868331339 59.889744953822735, 10.868629682368129 59.88985047822961, 10.868630215847961 59.890133666336084, 10.868698878987992 59.890286909754096, 10.868978618161364 59.8906562249435, 10.869121370749204 59.89091601897193, 10.869267712407481 59.89125237656438, 10.869326125504374 59.89148714006635, 10.869345327621263 59.89170799917551, 10.869452000786174 59.89182818890391, 10.869633254189798 59.89189504632979, 10.86990111729436 59.89192860944455, 10.870445730706958 59.89193758555227, 10.871181937851786 59.891917522041346, 10.87168768296398 59.89195048746104, 10.872091030054502 59.89203152136828, 10.872330827293112 59.89213167413942, 10.872354419468541 59.892147506119436)"
1805,['Blåmerket sti Nordmarka'],['F_20170630_01'],JA,,,"LINESTRING (10.679839341433807 59.97728321487343, 10.680044975079149 59.97729918889, 10.680127774708497 59.977309990216)"
1806,['Blåmerket sti Nordmarka'],['F_20170630_01'],JA,,,"LINESTRING (10.652645490881355 59.980857008845646, 10.652595509710306 59.980907749398064, 10.652549665153092 59.98097316723707, 10.652539876268229 59.98099250944639, 10.652546582173569 59.98103355918036, 10.652545004184324 59.98108099942248, 10.652557409649507 59.981135718970194, 10.652560234255 59.98115643007375, 10.65256325586793 59.98117749795711, 10.65256151207617 59.98122880217, 10.65256230765686 59.98126633342948, 10.65257088078881 59.98130888658246, 10.652596697239689 59.981359396720386, 10.652631876871377 59.981403592640895, 10.65267999701556 59.98145211712287, 10.652732944403065 59.98149680906821, 10.652791435469778 59.98153765950128, 10.65285336565859 59.98157559288048, 10.652946227787135 59.98162643103336, 10.65303643067032 59.98166706390709, 10.653124627914782 59.981699818421575, 10.653217840473568 59.98172891760851, 10.653318701260824 59.98175325074381, 10.653404709586187 59.98177085433876, 10.653484999985356 59.98178161400883, 10.653562939648696 59.98178836155618, 10.653654818607711 59.981790713303205, 10.65371989825428 59.981787562957216)"
1807,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.860350417042365 59.88805694719041, 10.860351386276875 59.88859853398213, 10.860388289912219 59.88866079544115, 10.86039076622671 59.888669921875895, 10.860357091218921 59.88873892823933)"
1808,['Blåmerket sti Nordmarka'],['F_20170630_01'],JA,,,"LINESTRING (10.591696340182846 59.99654991028088, 10.591654335167908 59.99681014705182, 10.59131446309103 59.997218747230065, 10.590928892006119 59.99748985910061, 10.590795508750894 59.99758361096881, 10.590477221742859 59.997695216725276, 10.589660211312697 59.99785764128413, 10.589130263392255 59.99803501765232, 10.588654814546675 59.99819359463113, 10.58806383119102 59.99820887554318, 10.587527909023912 59.99824316026348, 10.586727743350808 59.998387222351106, 10.586230081476524 59.99848292103421, 10.58535192522025 59.99848502402336, 10.58460276694675 59.998556163864976, 10.584195584024746 59.99871426462838, 10.583906555437038 59.998995962249545, 10.583616403616267 59.999340539499876, 10.58334893343188 59.99935317663913, 10.583111556505033 59.999275103865486, 10.582488916089249 59.99897721329251, 10.58193451219785 59.99865111050131, 10.58149167723178 59.99837818389791, 10.581022860675613 59.998312129303514, 10.580411559520654 59.99829250356677, 10.579782741167124 59.99825521242965, 10.579435665352385 59.998124918844226, 10.578810069285314 59.99780899491401, 10.578066208837233 59.99763745841493, 10.577098802811868 59.9975420519947, 10.576473282213742 59.997306136726316, 10.575761259125905 59.99704574484905, 10.574182627315786 59.996633037448284)"
1809,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.865757130012708 59.88953038869321, 10.865778563758171 59.8894153878674, 10.865797523215734 59.889345510600954)"
1810,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.86108902863218 59.88385373553996, 10.86081642564461 59.88414635026577, 10.860835609791275 59.88449582949312, 10.860926937327635 59.88485390016827, 10.861091008929614 59.88520250031619, 10.861145901166523 59.88555129541311, 10.86093056143227 59.8858870220824, 10.860913864419018 59.886237187687556, 10.860838863456072 59.88644599537295)"
1811,['Ukjent'],['osl'],JA,,,"LINESTRING (10.626130060358197 59.974202953499734, 10.626062602540282 59.97410984222574, 10.625949470676707 59.97352737441576, 10.625930785755536 59.97343132716445, 10.625959645295712 59.97309903007243, 10.626074196218081 59.97290290854773, 10.626094470638956 59.972881553174275, 10.626232077122282 59.9727354416327, 10.626438757511163 59.97252183897707)"
1812,['Ukjent'],['osl'],JA,,,"LINESTRING (10.626130060358197 59.974202953499734, 10.626083031347157 59.974486257984104, 10.626039213851337 59.97468159788546, 10.625914390711456 59.97493146298755, 10.625803696281423 59.97500539378137, 10.625703509115883 59.975136494486485, 10.625550698398945 59.975279738997855, 10.625383044395768 59.975434572095104, 10.625215014903533 59.975581775652486, 10.625022934366278 59.975702601217264, 10.624846069868887 59.97582314937271, 10.62469269941769 59.97595876577814, 10.62467407807938 59.976046830108245, 10.624714654520286 59.97609599613662)"
1813,['Blåmerket sti Nordmarka'],['F_20170630_01'],JA,,,"LINESTRING (10.630810722267668 59.973560624380546, 10.630713448864107 59.973637536998886, 10.630582085791872 59.97371352351502, 10.630448778335603 59.97377184112117, 10.630372043026721 59.97382919037843, 10.63032589117866 59.973881761086034, 10.630284432561107 59.97395690621015, 10.630234259975671 59.97402245934521, 10.630215648115737 59.97410675242686, 10.630248715600993 59.97415978162423)"
1814,['Ukjent'],['osl'],JA,,,"LINESTRING (10.621558766904615 59.98271335885875, 10.621570261398682 59.98293002097839, 10.621483515211416 59.982984972956665, 10.62153163260755 59.98323585221617, 10.6215339172783 59.983648953865774, 10.621490386383458 59.984048787357416)"
