,rutenavn,rutenummer,merking,rutetype,informasjon,geometry
31,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.897507015747635 59.908815196086294, 10.897512013887251 59.90889649956186, 10.897544767527052 59.909041084670044, 10.897579526108258 59.90914872556197, 10.897606915038 59.90924317942952, 10.897661447694988 59.90956250692544, 10.897634670281363 59.90973255930565, 10.89750525904001 59.91001896688655, 10.897486696351086 59.910110489546284, 10.89744832444164 59.9101808307826, 10.89739952134117 59.91033476339712, 10.897441204968194 59.91050104581929, 10.89746058574555 59.910524119592516, 10.89755635897603 59.9107606696289, 10.897573671152085 59.910913560657875, 10.897527019186398 59.91102372080501, 10.897466092416412 59.911087470710335, 10.89732613646045 59.911179842580644, 10.897159141596326 59.911259130718335, 10.897095775797302 59.91128016202628, 10.897017913410103 59.91132610197268, 10.896933798430624 59.91141605300675, 10.896873547206267 59.91156062937114, 10.89683861616655 59.91188878921879, 10.896871361409596 59.91195172972091, 10.896998747941847 59.912049594813226, 10.897071082266503 59.91209166658041, 10.897244210980555 59.912166777810654, 10.897272713163947 59.91216789447754, 10.897289988978432 59.91217914255981, 10.897467315189859 59.91219617045731, 10.897525893139148 59.9121758366394)"
32,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.862244736054661 59.84688825957647, 10.862252341941193 59.84687423015894, 10.862269312175215 59.846823332619536, 10.862267291277625 59.84678716446636, 10.862260286304268 59.84677361119183, 10.862130815311906 59.84665122407025, 10.862050534593319 59.846604127262374, 10.861994759306029 59.84656431834498, 10.861943906747017 59.84651357177457, 10.861903885091701 59.84645539672227, 10.861868661429353 59.846400027981524, 10.861814143365871 59.846334782656484, 10.861764590353122 59.84626255108915, 10.861709716509141 59.84621329839675, 10.861636157589075 59.846184249565304, 10.861521285863606 59.8461441983494, 10.861295987217181 59.84606376332367, 10.861184375759795 59.84601495335794, 10.861145740343249 59.84599115886022, 10.861106930718131 59.84597383372478, 10.861085057360775 59.845959322960205)"
33,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.868404391012135 59.902044818560455, 10.868499019377829 59.902102846451776, 10.868524674395008 59.90211074594129, 10.86864306586196 59.90224163823711, 10.868709143386308 59.90233249499354, 10.868766570484583 59.90240622938356, 10.868797338054097 59.902447827781586, 10.86880813083092 59.90249033814497, 10.868818373124396 59.90251668912777, 10.868824424128023 59.902551183136566, 10.868833752965935 59.902577187800546, 10.868861122501059 59.902609223876574, 10.868895785450267 59.90262786350143, 10.868923301127207 59.90264022741672)"
34,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.675811403369167 59.91696102441023, 10.675790246477149 59.91696713117399, 10.675773343600696 59.916965370142925, 10.675756246138699 59.916959749629896, 10.675641372533956 59.916905795177335, 10.675539000958526 59.91686210002946, 10.67549375719453 59.91684812534849, 10.675463628598452 59.91684302965937, 10.67543517891773 59.91684285233434, 10.67538662458373 59.91684481656457, 10.675355242279387 59.91685033469986, 10.675339884860538 59.91685439181013, 10.675309484491573 59.91686519641467, 10.67528991597299 59.91687442636372, 10.675275320885707 59.91689005963715, 10.675267919037484 59.91691000233371, 10.675267794566524 59.916911081669596, 10.675267941284755 59.916931736761256, 10.67529457953404 59.917009535445764, 10.675357668315387 59.917132675481554, 10.675377213644145 59.91717266326146, 10.675389857845275 59.91718929758362, 10.675409437412322 59.91721222048208, 10.67550242358553 59.91728261961793)"
35,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.891876084717588 59.92846193333759, 10.891921544692929 59.92842436588953, 10.891982380898973 59.92837400328027, 10.892009373741429 59.9283515207434, 10.892018609644913 59.92834087951476, 10.892033301410619 59.92832863309323, 10.892044984256096 59.92831696875339, 10.892050143237684 59.928297583861024, 10.892053907710174 59.92828199133361, 10.892065997874194 59.92823035214668, 10.892081746601342 59.92820524658118, 10.892113192759059 59.928150994370576, 10.892135878406826 59.92811572964037, 10.892158875824009 59.92808593932865, 10.892216436358492 59.92803149197872, 10.892287952834478 59.927970736695485, 10.89231734081675 59.92794318990888, 10.892333896817643 59.92792912033633, 10.892351254898797 59.92791656615619, 10.892431430206196 59.927866464679724, 10.892452910896889 59.92785717458235, 10.89247204648898 59.92784127160803, 10.892486042846455 59.92782310712477, 10.892521299532705 59.92778236263019, 10.892535580512 59.92773464393511, 10.892549748220773 59.92766923271809, 10.892563906861762 59.92762879103216)"
36,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.896452069176597 59.90508486409781, 10.896435079143586 59.905147532342205, 10.896426002728901 59.90518278192822, 10.896401149895393 59.90520478576433, 10.896351831251216 59.90524303947703, 10.896313568440876 59.90527134389411, 10.896286142369283 59.905292127274144, 10.896255007860056 59.905298054155544, 10.896180865301966 59.90531492891562, 10.896132149432354 59.90532299489924, 10.89608550732002 59.905339204501416, 10.896057824728128 59.9053523569616, 10.896012540292954 59.90536728954818, 10.89595040919072 59.905381566283495, 10.895908957437848 59.905388449864866, 10.895885848223227 59.90539713539954, 10.895874184865503 59.90540897956238, 10.895819759885955 59.9055207779331, 10.89573373111904 59.905608330814864, 10.89558408508149 59.90567470331916, 10.89543223011121 59.90575880162784, 10.895383787574932 59.90579677290215, 10.895366336486203 59.90582316100217, 10.895347920361017 59.905848305520784, 10.895339984805297 59.90587222149901, 10.895302181567342 59.905914889929434, 10.895264132684966 59.90595325060022, 10.895192161842282 59.90600512270336, 10.89516702076625 59.90601895696737, 10.895141140090356 59.90603864005257, 10.89511532041292 59.90605625643367, 10.895091114284146 59.90607708306842, 10.89507995168979 59.90609772215055, 10.895075527035884 59.9061110788834, 10.895087969475728 59.90612230690523, 10.895089277549621 59.9061327070227, 10.895062405575585 59.906191475315985, 10.895052167710325 59.906218927291384, 10.89500034144842 59.90627598854873, 10.894993974802265 59.906318025244616, 10.8950070730413 59.90635017151424, 10.895001518641273 59.906397046720876, 10.894973007148796 59.90645215601209, 10.894943412232463 59.90649767031269, 10.89489238158556 59.906553013532495, 10.894835274279076 59.90659586952864, 10.894795395383877 59.906624106888025, 10.894753580964734 59.90664662368775, 10.894643519079581 59.90671107870906, 10.894500830619194 59.90678983463288, 10.894414949619039 59.906836157850165, 10.894343907906343 59.90686672916147, 10.894304185387757 59.90688203028168, 10.894262134835948 59.90689727503028, 10.894240101357962 59.906906034618004, 10.894170265698792 59.90695464197589, 10.894112332850884 59.90697361783979, 10.894073967478745 59.90698135464818, 10.893979587376357 59.90699151312023, 10.89388707121408 59.907009279294755, 10.893808639628444 59.90701687319725, 10.893701460757862 59.907031526647174, 10.893612875172082 59.90704609251271, 10.893574596488984 59.907055354838924, 10.893500883283341 59.9070830000611, 10.893425328063547 59.90712854553883, 10.893377329662895 59.90715240817881, 10.89333045914621 59.907170955320595, 10.893286299698044 59.9071931460504, 10.893222944223623 59.907214265228355, 10.893186227411737 59.90722269663923, 10.893146309407417 59.90722829983608, 10.893097227175561 59.90722999282753, 10.893091176261393 59.90730588635075, 10.8930984127051 59.90734817663111, 10.89311001889704 59.90738241032177, 10.893123176910944 59.90741249008207, 10.893126421165533 59.907456903522196, 10.893145092789732 59.907483311355605, 10.8931627698349 59.9075267989418, 10.893172039104588 59.90758280221299, 10.893155968850857 59.90760836178991, 10.893146724806735 59.90764073932213, 10.89313292089494 59.90765899106405, 10.893120056397834 59.90767803767557, 10.893072498087351 59.90774105463115, 10.893056309990694 59.907761406427745, 10.89303824094931 59.90783980782905, 10.893018026765684 59.9079025218418, 10.893005330895031 59.90792767365911, 10.892991578044052 59.90794996647155, 10.892979178506502 59.90798032348828, 10.892977276101208 59.90801915229462, 10.892973955632122 59.90808333021312, 10.892976194833015 59.908144643916806, 10.892985544646978 59.90818007765965, 10.892989200681992 59.90819089315901, 10.89297712746793 59.908214419300236, 10.89296769387286 59.908240332622576, 10.892955571675214 59.908306972222576, 10.8929254061057 59.908361386218125, 10.892915808918705 59.90838442770111, 10.892913175282109 59.90840099208091, 10.892909418843516 59.90842610531874, 10.892897865940538 59.908443067246495, 10.892875112520075 59.908480039857984, 10.892844501989392 59.908523502395965, 10.892827323404724 59.90855473638853, 10.89280716888825 59.90859966548698, 10.892793615874911 59.90864746378227, 10.8927695043262 59.908688856969064, 10.89276590559761 59.908704177748085, 10.892768923626972 59.90871949332637, 10.892775465529718 59.90875900922387, 10.892760487561898 59.90879748688019, 10.89273076495693 59.908840846816574, 10.892726410544554 59.90885545989965, 10.892727789534888 59.908867116467526, 10.892749974903833 59.908908114270915, 10.892778521522573 59.908941475989664)"
37,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.872476621339121 59.893041972701305, 10.872451091259228 59.89313781193512, 10.872412403716034 59.89320949748045, 10.872353660489074 59.89329009051857, 10.872311117717967 59.89342667933387, 10.872281386241196 59.8935939834492, 10.872310859548628 59.89373969837263, 10.87230025993987 59.89379275172496, 10.87231542176059 59.89383663687267, 10.872312030332656 59.89393835891745, 10.872257852568326 59.89404610183926, 10.872181868010735 59.89415388511736, 10.872152717551272 59.89426800873221, 10.872093269271481 59.89438058680222, 10.872098627626261 59.89448532814056, 10.872024840426068 59.89462900723921, 10.87180069078635 59.89495338021327, 10.871748195720272 59.89507520038121, 10.871618447651407 59.89527598990156, 10.871263805332697 59.89520342400003, 10.870979280003116 59.894975823996, 10.87075140898849 59.894776520069485, 10.87062322652802 59.894655558846814, 10.870481590456771 59.89459415807437, 10.87005546381508 59.89449952053699, 10.86987082563501 59.89444268138464, 10.869671091549291 59.894193576586375, 10.869471749936109 59.89403410412067, 10.869410354439026 59.893984946639904)"
38,['Ukjent'],['osl'],JA,,,"LINESTRING (10.640671296285971 59.96175602100887, 10.637828089887321 59.96156079473472, 10.63754907151995 59.961543421295744, 10.635822311726763 59.96143559987011, 10.63518702993801 59.96139614306385, 10.633897317602548 59.9613174574132, 10.63096238476852 59.96108002031047, 10.62971478152647 59.96165028857336, 10.629346905338535 59.961818467518576, 10.628682625358444 59.96212232656115, 10.628581524151887 59.962168120712896, 10.628054398377934 59.962409212085674, 10.627609035376194 59.96256091861878)"
39,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.898498064308589 59.865184899276194, 10.898458695391783 59.865127174354086, 10.898433311912253 59.86509233126921, 10.89840494250141 59.86506777058058, 10.89826208115555 59.8649992322942, 10.898234580384674 59.86498364094048, 10.898173989910033 59.864892000830004, 10.898140562148987 59.86483508837181, 10.898109073773211 59.864730723567355, 10.898099262798704 59.864668261197394)"
40,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.89180476138461 59.89602719140025, 10.891859365549317 59.89613859059356, 10.891921451268086 59.89618350657698, 10.892081114320087 59.8963095645639, 10.892140817685366 59.896378585979484, 10.89230038564685 59.89650922581659, 10.892376248443629 59.8965951703855, 10.892394039989373 59.896804191690514, 10.89239009074924 59.896844756490594, 10.892367900839764 59.89709261457982, 10.892285921515061 59.897414533205875, 10.892308683337882 59.897588364146664, 10.892322806045538 59.89760720283516, 10.892389941640298 59.89780365949541, 10.892500688778494 59.897933922405166, 10.892613819112697 59.89802750510816, 10.892775277528877 59.89808437640499, 10.892909465624893 59.89812385519836)"
